Altium Designer Pick and Place Locations
C:\Users\matt\Dropbox\Ventilator Shit\PCB\alarm_module\pcb\Project Outputs for alarm board\Pick Place\Pick Place for PCB2.csv

========================================================================================================================
File Design Information:

Date:       03/04/20
Time:       16:16
Revision:   8d889e1da750a907a7d07f0ee241ff784861bb65
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"F1","SEAANDLAND_1812","40.7500","43.7400","40.7500","43.7400","40.7500","46.2300","TopLayer","270","mSMD110-33V"
"D2","ONSC-SMA-2-403D-02_V","19.7500","43.7400","19.7500","43.7400","19.7500","45.7400","TopLayer","270","MURA110T3G"
"U3","SOT-223_N","52.5000","42.5000","52.5000","42.5000","55.4000","40.2000","TopLayer","180","LD1117S33CTR"
"U2","SOT-223_N","30.7500","40.2500","30.7500","40.2500","33.6500","37.9500","TopLayer","180","LD1117S33CTR"
"R4","RESC0402(1005)_N","30.1140","29.4360","30.1140","29.4360","30.1140","29.9360","TopLayer","270","TBD"
"R6","RESC0402(1005)_N","36.7180","28.9280","36.7180","28.9280","36.7180","29.4280","TopLayer","270","TBD"
"J1","1.27mm_2x5_SMD_Header","59.2500","25.7500","59.2500","25.7500","61.2000","23.2100","TopLayer","90","ARM Cortex JTAG"
"C1","CAPC1005X55X25ML05T10","49.1640","24.6100","49.1640","24.6100","49.6540","24.6100","TopLayer","180","GRM155R71C104KA88D"
"J3","DC-044A-2.5A-2.0","92.8500","24.2500","99.6000","25.5000","89.1000","28.9000","TopLayer","270","DC-044A-2.5A-2.0"
"U1","STM-TSSOP20_L","44.0840","24.2290","44.0840","24.2290","46.8840","21.3040","TopLayer","180","STM32F030F4P6"
"R1","RESC0402(1005)_N","49.1640","23.3400","49.1640","23.3400","49.6640","23.3400","TopLayer","180","10K 5% 0402(1005)"
"R5","RESC0402(1005)_N","36.5910","22.8320","36.5910","22.8320","36.5910","23.3320","TopLayer","270","TBD"
"SW_L2","431481031816","9.0000","22.5000","9.0000","22.5000","11.2500","18.8750","BottomLayer","270","431481031816"
"R2","RESC0402(1005)_N","49.1640","21.1810","49.1640","21.1810","48.6640","21.1810","TopLayer","360","10K 5% 0402(1005)"
"R8","RESC0805(2012)_N","50.9260","14.5720","50.9260","14.5720","51.8760","14.5720","TopLayer","180","120R 5% 0805(2012)"
"R7","RESC0805(2012)_N","46.6080","14.5720","46.6080","14.5720","47.5580","14.5720","TopLayer","180","120R 5% 0805(2012)"
"C6","SC_EB_5R5_474_M","70.0000","10.0000","70.0000","10.0000","67.5000","10.0000","TopLayer","360","SC EB 5R5 474 M"
"S1","SFN-1255-0540-35P6.5","27.5000","10.0000","27.5000","10.0000","30.7500","10.0000","TopLayer","180","SFN-1255-0540-35P6.5"
"D5","5050RGB","90.0000","8.0000","90.0000","8.0000","87.8000","6.4000","BottomLayer","0","RBG5050"
"D4","5050RGB","50.0000","8.0000","50.0000","8.0000","47.8000","6.4000","BottomLayer","0","RBG5050"
"D1","5050RGB","10.0000","8.0000","10.0000","8.0000","7.8000","6.4000","BottomLayer","360","RBG5050"
